date,username,tweet
2022-10-24 12:35:47+00:00,Dadungkawuk41,"@itsazhar29 @Quvvatt @Fido_id_ @pembencioknum @RjBrana @yusuf_dumdum Negara berkewajiban melayani, saat melayani di… https://t.co/7PrfrAwYuK"
2022-10-24 12:32:22+00:00,Wahyu_Di_nn13,"@PatiBagong @noahrozikan @dewa88058386 @s_g0001 @BJ___Robin @firzahusainInc 🤣🤣🤣, dasar nunafik, klau udah iri dengk… https://t.co/skP7a36eCD"
2022-10-24 12:22:58+00:00,YN76233161,@PanciB0zz Naaaah kan kebukti Pastinya rakyat dibuat lebih tertekan dengan berbagai kenaikan nanti yang jadi pahlaw… https://t.co/WHDBkU7lGV
2022-10-24 12:08:05+00:00,futudre,@iluzfi BLT sangat membantu
2022-10-24 12:07:53+00:00,futudre,@iluzfi @jokowi @pertamina BLT sangat membantu
2022-10-24 12:07:35+00:00,futudre,@vynval @pertamina BLT sangat membantu
2022-10-24 12:07:22+00:00,futudre,@vynval @pertamina BLT sangat membantu
2022-10-24 12:07:05+00:00,futudre,@prgjurit @jokowi @pertamina BLT sangat membantu
2022-10-24 12:06:53+00:00,futudre,@prgjurit @pertamina BLT sangat membantu
2022-10-24 12:06:31+00:00,futudre,@vinsiey BLT sangat membantu
2022-10-24 12:06:19+00:00,futudre,@vinsiey @jokowi @pertamina BLT sangat membantu
2022-10-24 12:05:55+00:00,futudre,@aiyrinrv @pertamina BLT sangat membantu
2022-10-24 12:05:43+00:00,futudre,@aiyrinrv @jokowi @pertamina BLT sangat membantu
2022-10-24 12:05:25+00:00,futudre,@Amaygedeng @pertamina BLT sangat membantu
2022-10-24 12:05:13+00:00,futudre,@Amaygedeng @pertamina BLT sangat membantu
2022-10-24 12:04:53+00:00,futudre,@hvezar @jokowi @pertamina BLT sangat membantu
2022-10-24 12:04:41+00:00,futudre,@hvezar @pertamina BLT sangat membantu
2022-10-24 12:04:21+00:00,futudre,@ChanaRangers @pertamina BLT sangat membantu
2022-10-24 12:04:09+00:00,futudre,@ChanaRangers @pertamina BLT sangat membantu
2022-10-24 12:03:47+00:00,futudre,@digifeeder @jokowi @pertamina BLT sangat membantu
2022-10-24 12:03:34+00:00,futudre,@digifeeder @pertamina BLT sangat membantu
2022-10-24 12:03:11+00:00,futudre,@advnc00 @pertamina BLT sangat membantu
2022-10-24 12:02:54+00:00,futudre,@advnc00 @pertamina BLT sangat membantu
2022-10-24 11:59:43+00:00,gertakgertuk,@omsalesh penyaluran bansos dan blt beri dampak positif
2022-10-24 11:58:17+00:00,JeniUtami,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/IliQ9V1jEC
2022-10-24 11:54:45+00:00,manuelhandi,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/F66wOtfSp9
2022-10-24 11:54:12+00:00,klikwarta_com,Mengapresiasi Penyaluran BLT BBM Tahap II https://t.co/ymeP8ObLSX
2022-10-24 11:53:57+00:00,manuelhandi,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/dSkLXPwXqu
2022-10-24 11:51:47+00:00,KIKI16756814,"@KemnakerRI Cuman di sodorka, Bojonegoro - Blora tak pernah dpt penghargaan dari semua meteri negara RI. Yah, adany… https://t.co/c241UPgUoF"
2022-10-24 11:51:29+00:00,manuelhandi,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/vDSgldljDk
2022-10-24 11:48:57+00:00,Presiden_bcd,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/nKM8QgFPUv
2022-10-24 11:48:12+00:00,VIVAcoid,"Pemkot Surabaya Gerojok BLT BBM Rp 8,9 M untuk 22.327 Pengemudi https://t.co/xhYDFZ75f5 https://t.co/r2Y5VLINar"
2022-10-24 11:46:48+00:00,Presiden_bcd,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/FVtMMYA6Jg
2022-10-24 11:41:03+00:00,IDNTimesJatim,Cair Rp200 ribu peroang perbulan https://t.co/PGcDNYNuQw
2022-10-24 11:40:58+00:00,AbangSatus,@yeributkuy @RadioPenyiar pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian
2022-10-24 11:40:26+00:00,AbangSatus,@LekMarteg @RadioPenyiar pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian
2022-10-24 11:39:48+00:00,AbangSatus,@RadioPenyiar pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian
2022-10-24 11:39:45+00:00,Havez1999,@babegalak1 BLT BBM Bantalan sosial
2022-10-24 11:39:00+00:00,AbangSatus,@Wiznu_Prayoga @RadioPenyiar pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian
2022-10-24 11:38:22+00:00,AbangSatus,@IrvanWis @RadioPenyiar pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian
2022-10-24 11:37:11+00:00,AbangSatus,@n4byl5 @RadioPenyiar pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian
2022-10-24 11:36:34+00:00,AbangSatus,@ballapann @RadioPenyiar pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian
